city_name,country_code,w_main,w_description,w_icon,w_temp,w_feels_like,w_temp_min,w_temp_max,w_pressure,humidity,wind_speed,wind_deg,clouds,dt,sunrise,sunset,timezone,w_name
Gottingen,DE,Clouds,overcast clouds,04d,281.01,278.88,279.85,281.76,1003.0,82.0,3.34,64.0,100.0,1648662202.0,1648616424.0,1648662532.0,7200.0,Göttingen
Bottrop,DE,Clouds,overcast clouds,04d,282.64,282.64,281.0,284.74,1004.0,66.0,0.45,270.0,100.0,1648662202.0,1648617146.0,1648663255.0,7200.0,Bottrop
Reutlingen,DE,Clouds,overcast clouds,04d,281.61,281.61,279.71,282.09,998.0,84.0,0.89,99.0,100.0,1648662203.0,1648616733.0,1648662568.0,7200.0,Reutlingen
Koblenz,DE,Clouds,overcast clouds,04d,284.3,282.99,282.92,284.75,1001.0,58.0,1.76,83.0,99.0,1648662203.0,1648617039.0,1648663039.0,7200.0,Lützel
Bremerhaven,DE,Clouds,overcast clouds,04d,278.53,276.2,278.27,279.35,1005.0,75.0,2.88,355.0,97.0,1648662193.0,1648616647.0,1648662958.0,7200.0,Bremerhaven
Recklinghausen,DE,Clouds,overcast clouds,04d,281.56,280.68,279.73,283.89,1001.0,64.0,1.79,55.0,100.0,1648661930.0,1648617076.0,1648663193.0,7200.0,Recklinghausen
Erlangen,DE,Clouds,broken clouds,04n,279.56,276.68,278.78,280.43,999.0,89.0,4.12,310.0,75.0,1648662205.0,1648616257.0,1648662187.0,7200.0,Erlangen
Bergisch Gladbach,DE,Clear,clear sky,01d,283.99,282.46,282.12,285.04,999.0,51.0,4.63,30.0,0.0,1648662206.0,1648617120.0,1648663179.0,7200.0,Bergisch Gladbach
Remscheid,DE,Clouds,overcast clouds,04d,281.49,279.45,279.18,283.0,1002.0,69.0,3.36,42.0,98.0,1648662206.0,1648617099.0,1648663176.0,7200.0,Remscheid
Jena,DE,Clouds,overcast clouds,04n,278.24,278.24,277.0,279.08,978.0,90.0,0.45,43.0,100.0,1648662207.0,1648616057.0,1648662107.0,7200.0,Jena
Trier,DE,Clouds,overcast clouds,04d,284.08,283.13,282.63,284.92,1000.0,73.0,0.43,28.0,97.0,1648661908.0,1648617296.0,1648663242.0,7200.0,Trier
Moers,DE,Clouds,overcast clouds,04d,283.52,282.23,281.18,284.92,1003.0,62.0,4.37,30.0,99.0,1648662208.0,1648617222.0,1648663325.0,7200.0,Moers
Salzgitter,DE,Clouds,overcast clouds,04d,279.32,278.1,278.46,281.14,1003.0,57.0,1.79,244.0,100.0,1648662208.0,1648616293.0,1648662460.0,7200.0,Lebenstedt
Siegen,DE,Clouds,few clouds,02d,282.42,281.06,282.05,283.01,999.0,62.0,2.57,140.0,20.0,1648662209.0,1648616915.0,1648662962.0,7200.0,Siegen
Hildesheim,DE,Clouds,overcast clouds,04d,279.74,277.08,278.53,281.45,1004.0,68.0,3.78,50.0,100.0,1648662209.0,1648616391.0,1648662559.0,7200.0,Hildesheim
Gutersloh,DE,Clouds,overcast clouds,04d,281.2,278.5,279.1,282.04,1004.0,78.0,4.53,31.0,100.0,1648662210.0,1648616778.0,1648662923.0,7200.0,Gütersloh
Kaiserslautern,DE,Clouds,broken clouds,04d,282.96,281.7,280.69,284.16,1000.0,71.0,2.57,50.0,75.0,1648662211.0,1648617039.0,1648662957.0,7200.0,Kaiserslautern
Schwerin,DE,Clouds,overcast clouds,04d,278.1,277.26,276.3,278.25,1002.0,77.0,1.34,68.0,100.0,1648662211.0,1648615964.0,1648662282.0,7200.0,Schelfstadt
Ludwigsburg,DE,Clouds,overcast clouds,04d,281.21,279.72,280.45,282.13,1000.0,89.0,2.44,19.0,100.0,1648662212.0,1648616721.0,1648662592.0,7200.0,Ludwigsburg
