city_name,country_code,w_main,w_description,w_icon,w_temp,w_feels_like,w_temp_min,w_temp_max,w_pressure,humidity,wind_speed,wind_deg,clouds,dt,sunrise,sunset,timezone,w_name
Ingolstadt,DE,Mist,mist,50d,280.17,279.35,279.0,280.89,995,87,1.54,60,100,1648716889,1648702465,1648748538,7200,Ingolstadt
Furth,DE,Clouds,broken clouds,04d,278.5,276.87,278.17,279.16,997,88,2.06,40,75,1648716890,1648702536,1648748676,7200,Fürth
Wurzburg,DE,Clouds,overcast clouds,04d,279.02,276.13,277.78,279.42,998,86,3.9,67,100,1648716890,1648702775,1648748946,7200,Wurzburg
Heilbronn,DE,Clouds,overcast clouds,04d,280.91,279.44,279.68,282.33,997,82,2.34,53,100,1648716890,1648702977,1648749086,7200,Heilbronn
Ulm,DE,Clouds,overcast clouds,04d,280.09,278.64,277.5,281.48,996,94,2.15,76,100,1648716601,1648702826,1648748866,7200,Ulm
Pforzheim,DE,Clouds,overcast clouds,04d,277.89,276.28,277.48,280.58,997,94,1.94,50,100,1648716891,1648703111,1648749198,7200,Alter Göbricherweg
Wolfsburg,DE,Clouds,overcast clouds,04d,277.27,273.57,276.07,278.12,1002,68,4.63,90,100,1648716891,1648702435,1648748875,7200,Wolfsburg
Gottingen,DE,Clouds,overcast clouds,04d,277.52,273.53,276.69,278.74,1001,80,5.35,100,100,1648716892,1648702687,1648749032,7200,Göttingen
Bottrop,DE,Clouds,overcast clouds,04d,279.06,279.06,276.83,281.4,1001,93,0.45,270,100,1648716892,1648703409,1648749755,7200,Bottrop
Reutlingen,DE,Clouds,overcast clouds,04d,279.09,279.09,277.91,280.23,994,90,0.98,2,100,1648716893,1648703008,1648749056,7200,Reutlingen
Koblenz,DE,Clouds,overcast clouds,04d,279.06,277.49,277.36,280.57,998,85,2.09,98,100,1648716893,1648703307,1648749534,7200,Lützel
Bremerhaven,DE,Snow,snow,13d,272.8,265.8,272.27,274.96,1004,98,10.05,75,100,1648716633,1648702901,1648749467,7200,Bremerhaven
Recklinghausen,DE,Clouds,overcast clouds,04d,278.67,278.67,276.95,279.71,998,86,0.89,90,100,1648716600,1648703338,1648749694,7200,Recklinghausen
Erlangen,DE,Clouds,broken clouds,04d,278.51,276.88,277.45,279.21,997,88,2.06,40,75,1648716894,1648702527,1648748679,7200,Erlangen
Bergisch Gladbach,DE,Clouds,scattered clouds,03d,279.05,277.06,278.2,280.54,997,84,2.57,60,40,1648716894,1648703385,1648749677,7200,Bergisch Gladbach
Remscheid,DE,Clouds,overcast clouds,04d,277.39,275.18,275.89,279.0,999,83,2.47,117,100,1648716894,1648703364,1648749674,7200,Remscheid
Jena,DE,Clouds,overcast clouds,04d,276.45,276.45,275.5,277.28,976,90,0.89,24,100,1648716895,1648702322,1648748604,7200,Jena
Trier,DE,Rain,light rain,10d,279.57,278.36,278.43,280.56,998,76,1.81,60,100,1648716794,1648703566,1648749735,7200,Trier
Moers,DE,Clouds,overcast clouds,04d,279.33,278.08,274.87,281.58,999,88,1.82,54,100,1648716895,1648703485,1648749825,7200,Moers
Salzgitter,DE,Clouds,overcast clouds,04d,276.81,273.95,275.87,279.61,1002,60,3.13,267,100,1648716896,1648702553,1648748963,7200,Lebenstedt
Siegen,DE,Clouds,overcast clouds,04d,277.43,274.37,276.26,278.89,997,82,3.6,70,100,1648716896,1648703180,1648749459,7200,Siegen
Hildesheim,DE,Clouds,overcast clouds,04d,278.2,274.02,275.9,279.64,1002,64,6.23,98,100,1648716896,1648702651,1648749061,7200,Hildesheim
Gutersloh,DE,Clouds,overcast clouds,04d,278.65,275.15,277.92,279.25,1000,69,4.91,117,100,1648716897,1648703039,1648749424,7200,Gütersloh
Kaiserslautern,DE,Clouds,overcast clouds,04d,279.2,276.53,277.36,280.07,995,91,3.6,30,100,1648716897,1648703310,1648749449,7200,Kaiserslautern
Schwerin,DE,Clouds,overcast clouds,04d,276.5,272.46,273.95,276.58,1003,62,4.92,113,100,1648716897,1648702217,1648748791,7200,Schelfstadt
Ludwigsburg,DE,Clouds,overcast clouds,04d,279.66,278.06,278.66,280.99,996,85,2.24,0,100,1648716898,1648702995,1648749081,7200,Ludwigsburg
Esslingen,DE,Clouds,broken clouds,04d,280.11,280.11,278.97,281.77,996,87,1.03,0,75,1648716898,1648702973,1648749045,7200,Esslingen am Neckar
Gladbeck,DE,Clouds,overcast clouds,04d,278.82,275.82,276.79,281.37,999,86,4.02,0,100,1648716898,1648703392,1648749744,7200,Gladbeck
Hilden,DE,Clouds,broken clouds,04d,279.37,278.44,278.03,280.85,999,87,1.54,70,75,1648716899,1648703423,1648749733,7200,Hilden
Cottbus,DE,Clouds,overcast clouds,04d,274.42,269.4,274.22,277.49,1003,77,5.81,50,100,1648716899,1648701621,1648747987,7200,Cottbus
Witten,DE,Clouds,overcast clouds,04d,278.77,276.74,277.5,279.6,995,82,2.56,105,100,1648716697,1648703316,1648749652,7200,Witten
Hanau,DE,Clouds,overcast clouds,04d,279.6,279.6,278.38,281.73,999,61,0.45,38,100,1648716900,1648703002,1648749206,7200,Hanau
Gera,DE,Clouds,overcast clouds,04d,275.65,271.03,275.03,276.96,996,88,5.66,63,100,1648716900,1648702206,1648748483,7200,Gera
Iserlohn,DE,Drizzle,light intensity drizzle,09d,277.59,275.8,276.85,278.44,999,91,2.06,50,75,1648716900,1648703238,1648749569,7200,Iserlohnerheide
Duren,DE,Clouds,overcast clouds,04d,278.56,277.51,277.01,280.22,997,91,1.54,70,100,1648716833,1648703552,1648749824,7200,Düren
Flensburg,DE,Clouds,overcast clouds,04d,275.75,270.12,274.34,276.12,1008,56,8.23,80,100,1648716901,1648702623,1648749335,7200,Flensburg
Tubingen,DE,Clouds,overcast clouds,04d,279.65,279.65,278.4,280.72,996,90,1.21,11,100,1648716901,1648703045,1648749097,7200,Tübingen
Zwickau,DE,Clouds,overcast clouds,04d,276.19,272.28,274.57,277.62,1001,91,4.55,57,100,1648716902,1648702115,1648748375,7200,Zwickau
Giessen,DE,Clouds,overcast clouds,04d,278.88,276.74,276.78,279.72,1006,80,2.72,67,100,1648716902,1648703039,1648749289,7200,Giessen
Ratingen,DE,Clouds,broken clouds,04d,279.22,278.27,277.97,280.79,999,87,1.54,70,75,1648716902,1648703438,1648749761,7200,Ratingen
Lunen,DE,Drizzle,light intensity drizzle,09d,278.82,277.24,277.77,279.87,998,91,2.06,50,75,1648716903,1648703262,1648749618,7200,Lünen
Konstanz,DE,Clouds,overcast clouds,04d,282.61,282.61,282.09,285.09,994,87,0.89,270,100,1648716903,1648703054,1648749029,7200,Konstanz
Villingen-Schwenningen,DE,Clouds,overcast clouds,04d,282.32,281.52,277.94,283.13,999,65,1.83,226,100,1648716903,1648703208,1648749219,7200,Villingen-Schwenningen
Marl,DE,Clouds,overcast clouds,04d,279.05,279.05,277.79,279.88,998,91,0.89,125,100,1648716904,1648703355,1648749716,7200,Marl
Worms,DE,Clouds,overcast clouds,04d,280.07,280.07,278.7,281.79,996,80,0.45,147,100,1648716904,1648703158,1648749314,7200,Worms
Velbert,DE,Clouds,broken clouds,04d,278.02,276.9,276.5,279.61,999,88,1.54,70,75,1648716904,1648703390,1648749717,7200,Velbert
Minden,DE,Clouds,overcast clouds,04d,278.5,274.63,277.15,279.44,1001,79,5.66,100,100,1648716905,1648702891,1648749317,7200,Minden
Dessau-Rosslau,DE,Clouds,overcast clouds,04d,275.06,273.17,274.78,277.25,1003,71,1.79,180,100,1648716905,1648702120,1648748496,7200,Wallwitzhafen
Neumunster,DE,Snow,light snow,13d,273.94,269.82,272.55,274.82,1006,81,4.02,90,100,1648716905,1648702533,1648749160,7200,Neumünster
Norderstedt,DE,Mist,mist,50d,273.14,267.36,271.92,274.74,1035,93,6.69,70,75,1648716906,1648702550,1648749133,7200,Norderstedt
Bamberg,DE,Clouds,overcast clouds,04d,278.21,275.6,277.05,280.27,998,88,3.18,72,100,1648716906,1648702540,1648748720,7200,Bamberg
Delmenhorst,DE,Clouds,overcast clouds,04d,274.45,269.27,273.08,275.09,1002,95,6.17,80,100,1648716906,1648702917,1648749427,7200,Delmenhorst
